NCD pAvals pCvals pp pc Dprime Method r2value sd Method2
2700Ha 0.05 0.15 0.05-0.15 0.1 0.6 Ha 0.6 0.023 Ha2700Ha
100Ha 0.15 0.15 0.15-0.15 0.15 0.6 Ha 0.602 0.099 Ha100Ha
300Ha 0.15 0.15 0.15-0.15 0.15 0.6 Ha 0.601 0.057 Ha300Ha
900Ha 0.15 0.15 0.15-0.15 0.15 0.6 Ha 0.6 0.032 Ha900Ha
1800Ha 0.15 0.15 0.15-0.15 0.15 0.6 Ha 0.6 0.023 Ha1800Ha
2700Ha 0.15 0.15 0.15-0.15 0.15 0.6 Ha 0.6 0.019 Ha2700Ha
100Ha 0.05 0.25 0.05-0.25 0.15 0.6 Ha 0.602 0.102 Ha100Ha
300Ha 0.05 0.25 0.05-0.25 0.15 0.6 Ha 0.601 0.058 Ha300Ha
900Ha 0.05 0.25 0.05-0.25 0.15 0.6 Ha 0.6 0.034 Ha900Ha
1800Ha 0.05 0.25 0.05-0.25 0.15 0.6 Ha 0.6 0.024 Ha1800Ha
2700Ha 0.05 0.25 0.05-0.25 0.15 0.6 Ha 0.6 0.02 Ha2700Ha
100Ha 0.15 0.25 0.15-0.25 0.2 0.6 Ha 0.603 0.087 Ha100Ha
300Ha 0.15 0.25 0.15-0.25 0.2 0.6 Ha 0.6 0.05 Ha300Ha
900Ha 0.15 0.25 0.15-0.25 0.2 0.6 Ha 0.6 0.029 Ha900Ha
1800Ha 0.15 0.25 0.15-0.25 0.2 0.6 Ha 0.6 0.021 Ha1800Ha
2700Ha 0.15 0.25 0.15-0.25 0.2 0.6 Ha 0.6 0.018 Ha2700Ha
100Ha 0.25 0.25 0.25-0.25 0.25 0.6 Ha 0.602 0.081 Ha100Ha
300Ha 0.25 0.25 0.25-0.25 0.25 0.6 Ha 0.601 0.047 Ha300Ha
900Ha 0.25 0.25 0.25-0.25 0.25 0.6 Ha 0.6 0.027 Ha900Ha
1800Ha 0.25 0.25 0.25-0.25 0.25 0.6 Ha 0.6 0.019 Ha1800Ha
2700Ha 0.25 0.25 0.25-0.25 0.25 0.6 Ha 0.6 0.016 Ha2700Ha
100Ha 0.05 0.35 0.05-0.35 0.2 0.6 Ha 0.603 0.093 Ha100Ha
300Ha 0.05 0.35 0.05-0.35 0.2 0.6 Ha 0.6 0.054 Ha300Ha
900Ha 0.05 0.35 0.05-0.35 0.2 0.6 Ha 0.6 0.031 Ha900Ha
1800Ha 0.05 0.35 0.05-0.35 0.2 0.6 Ha 0.601 0.022 Ha1800Ha
2700Ha 0.05 0.35 0.05-0.35 0.2 0.6 Ha 0.6 0.018 Ha2700Ha
100Ha 0.15 0.35 0.15-0.35 0.25 0.6 Ha 0.603 0.083 Ha100Ha
300Ha 0.15 0.35 0.15-0.35 0.25 0.6 Ha 0.601 0.049 Ha300Ha
900Ha 0.15 0.35 0.15-0.35 0.25 0.6 Ha 0.601 0.028 Ha900Ha
1800Ha 0.15 0.35 0.15-0.35 0.25 0.6 Ha 0.6 0.02 Ha1800Ha
2700Ha 0.15 0.35 0.15-0.35 0.25 0.6 Ha 0.6 0.016 Ha2700Ha
100Ha 0.25 0.35 0.25-0.35 0.3 0.6 Ha 0.604 0.075 Ha100Ha
